estados,casos_positivos_rabia,bovinos,equinos,ovinos,cabras,porcinos,murcielago_hematofago,carnivoro_silvestre,murcielago_insectivoro,murcielago_frugivoro
Aguascalientes,,,,,,,,,,
Baja California,,,,,,,,,,
Baja California Sur,1,,1,,,,,,,
Campeche,4,4,,,,,,,,
Chiapas,17,15,2,,,,,,,
Chihuahua,,,,,,,,,,
Coahuila,,,,,,,,,,
Colima,3,3,,,,,,,,
Durango,,,,,,,,,,
Ciudad de México,,,,,,,,,,
Guanajuato,,,,,,,,,,
Guerrero,10,8,2,,,,,,,
Hidalgo,12,11,1,,,,,,,
Jalisco,10,8,2,,,,,,,
México,2,1,,,,,1,,,
Michoacán,4,4,,,,,,,,
Morelos,1,1,,,,,,,,
Nayarit,17,16,1,,,,,,,
Nuevo León,,,,,,,,,,
Oaxaca,3,2,1,,,,,,,
Puebla,24,23,1,,,,,,,
Querétaro,1,1,,,,,,,,
Quintana Roo,2,2,,,,,,,,
San Luis Potosí,9,7,,1,,,1,,,
Sinaloa,,,,,,,,,,
Sonora,1,,,,,,1,,,
Tabasco,24,19,,1,,,4,,,
Tamaulipas,8,5,2,,,,1,,,
Tlaxcala,,,,,,,,,,
Veracruz,34,30,3,1,,,,,,
Yucatán,8,8,,,,,,,,
Zacatecas,6,6,,,,,,,,
